Date,Forecasted_Sales
2017-08-12,0.4283109101513357
2017-08-13,0.38780233033095235
2017-08-14,0.3849319851237371
2017-08-15,0.38472859903503404
2017-08-16,0.38471418756251363
2017-08-17,0.38471316639857106
2017-08-18,0.3847130940412324
2017-08-19,0.38471308891415706
2017-08-20,0.3847130885508642
2017-08-21,0.38471308852512215
2017-08-22,0.3847130885232981
2017-08-23,0.3847130885231689
2017-08-24,0.3847130885231597
2017-08-25,0.38471308852315905
2017-08-26,0.384713088523159
2017-08-27,0.384713088523159
2017-08-28,0.384713088523159
2017-08-29,0.384713088523159
2017-08-30,0.384713088523159
2017-08-31,0.384713088523159
2017-09-01,0.384713088523159
2017-09-02,0.384713088523159
2017-09-03,0.384713088523159
2017-09-04,0.384713088523159
2017-09-05,0.384713088523159
2017-09-06,0.384713088523159
2017-09-07,0.384713088523159
2017-09-08,0.384713088523159
2017-09-09,0.384713088523159
2017-09-10,0.384713088523159
